"Location","Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
"Afghanistan",2000,"Attributable_Deaths","Medium","low",0.171084306402733,0.131495204861767,0.234160235427252
"Afghanistan",2001,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",154.870360391491,154.191049553993,155.554881532963
"Afghanistan",2001,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",103.13326631503,102.492472743337,103.78214862852
"Afghanistan",2001,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",211.822521863502,210.741412763829,212.918637729123
"Afghanistan",2001,"Associated_Deaths","Critical","low",4.48654588473956,4.3523172585014,4.62667994414039
"Afghanistan",2001,"Associated_Deaths","High","low",3.33918120361379,3.17426671091694,3.51697826435997
"Afghanistan",2001,"Associated_Deaths","Medium","low",4.27912623709798,4.07220496549186,4.50447099390896
"Afghanistan",2001,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",34.4576184145131,34.122331422651,34.7982995164638
"Afghanistan",2001,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",17.0043685258032,16.7349149529727,17.28221329296
"Afghanistan",2001,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",8.84402476105265,8.620873645963,9.08325580815318
"Afghanistan",2001,"Attributable_Deaths","Critical","low",1.01750333814465,0.953611219080931,1.08754938472117
"Afghanistan",2001,"Attributable_Deaths","High","low",0.600941406599643,0.530869356445993,0.68506768363128
"Afghanistan",2001,"Attributable_Deaths","Medium","low",0.18011297863309,0.139428745718969,0.244477185225491
"Afghanistan",2002,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",159.385397284342,158.688785454036,160.087263988718
"Afghanistan",2002,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",105.694375818721,105.039197694846,106.357701982917
"Afghanistan",2002,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",225.591226164992,224.462333623512,226.735223967452
"Afghanistan",2002,"Associated_Deaths","Critical","low",4.6377904582874,4.50072505527976,4.78078891185395
"Afghanistan",2002,"Associated_Deaths","High","low",3.42358994586145,3.25599779636954,3.60411551333686
"Afghanistan",2002,"Associated_Deaths","Medium","low",4.60279046396996,4.38640993902269,4.83766816709926
"Afghanistan",2002,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",35.2939581652427,34.9519922169887,35.6413555811811
"Afghanistan",2002,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",17.6894926624989,17.4116763607158,17.9757618302255
"Afghanistan",2002,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",9.44266162905483,9.20945407670586,9.69201049110889
"Afghanistan",2002,"Attributable_Deaths","Critical","low",1.04434267404003,0.97935777435962,1.11550618983666
"Afghanistan",2002,"Attributable_Deaths","High","low",0.626345864684627,0.554522648171977,0.712251344092296
"Afghanistan",2002,"Attributable_Deaths","Medium","low",0.193978680172575,0.151371393742992,0.260158819618383
"Afghanistan",2003,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",157.1899059111,156.505763064111,157.879253035709
"Afghanistan",2003,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",106.302747280516,105.660387563381,106.953138174114
"Afghanistan",2003,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",251.276527641664,250.116134820357,252.45181475089
"Afghanistan",2003,"Associated_Deaths","Critical","low",4.57076799865095,4.43547271324712,4.71195618820124
"Afghanistan",2003,"Associated_Deaths","High","low",3.42203991004695,3.25571196881999,3.60120001305888
"Afghanistan",2003,"Associated_Deaths","Medium","low",5.08118926919867,4.85638035122539,5.32425580217749
"Afghanistan",2003,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",35.5896104730714,35.2505520884929,35.9340411129603
