"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1991,"Attributable_Deaths","High","middle_low",0.279677000823995,0.145032868612205,15.6110445148327
1991,"Attributable_Deaths","Medium","high",0.0394868389883562,1.66203424461586e-05,2.29613067831699
1991,"Attributable_Deaths","Medium","low",0.177342656849506,0.130786559372193,2.29640177129227
1991,"Attributable_Deaths","Medium","middle",0.0772006399143848,0.0167204010919762,3.35857253547129
1991,"Attributable_Deaths","Medium","middle_high",0.0492789263442128,0.000324169590677465,13.8470929575813
1991,"Attributable_Deaths","Medium","middle_low",0.120999394870527,0.0103016716718916,23.2547851112724
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","high",6.49335312585618,5.93906970224474,7.22387619755241
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",82.1193973234609,81.7979819279915,82.7174990473492
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle",28.7808918705926,28.2653392708057,29.7442912812827
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",12.9134590429504,12.0074794649569,16.8428487602733
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",43.9888820323861,42.8841980128852,49.4695385190108
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","high",8.80686353090777,8.0446871278879,9.97792913095633
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",74.5628103385079,74.2285532898596,75.4122900581657
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle",28.5003750964354,27.9327021369394,29.8873929532729
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",19.8128119633433,18.6360446253005,26.1001288785346
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",35.2306396498039,34.018818618444,44.082010003997
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","high",16.0988190774151,14.2263693400141,18.5744201633499
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",197.01010125937,195.901049680583,199.002698683636
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle",50.1963282687563,48.6075380679602,53.2790998043702
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",30.0368054348564,28.3749501144689,42.5171042316499
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",108.858035330304,104.911672759037,126.862036105501
1992,"Associated_Deaths","Critical","high",0.265389091123861,0.180369244887657,0.645589495206763
1992,"Associated_Deaths","Critical","low",2.2717212535092,2.1992735743027,2.74899784042285
